time,lat,lon,address,site_number,no2,o3,pm25,source,year,month,day,o3_diff,Note
03/13/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.045235,NA,EPA,2019,3,13,0.026117,Storms happen during that time. True value
02/02/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.040353,NA,EPA,2023,2,2,0.025647,
12/28/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.031529,NA,EPA,2019,12,28,0.021058,
11/26/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036118,NA,EPA,2023,11,26,0.020647,
04/27/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.050588,NA,EPA,2023,4,27,0.019706,
09/08/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.064353,NA,EPA,2023,9,8,0.019471,
05/30/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.059471,NA,EPA,2022,5,30,0.019295,
05/13/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.052412,NA,EPA,2024,5,13,0.018941,
05/05/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.049471,NA,EPA,2022,5,5,0.018412,
05/13/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.049941,NA,EPA,2020,5,13,0.018294,
03/24/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.046647,NA,EPA,2020,3,24,0.018235,
12/08/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.032471,NA,EPA,2022,12,8,0.017942,
05/27/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.039588,NA,EPA,2019,5,27,0.017882,
04/18/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.050882,NA,EPA,2021,4,18,0.017882,
09/12/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.047176,NA,EPA,2020,9,12,0.017588,
11/23/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035765,NA,EPA,2019,11,23,0.01753,
05/21/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.054235,NA,EPA,2020,5,21,0.017,
01/27/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036176,NA,EPA,2024,1,27,0.016529,
03/18/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030941,NA,EPA,2020,3,18,0.016353,
08/11/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.058824,NA,EPA,2022,8,11,0.016059,
05/26/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.046059,NA,EPA,2020,5,26,0.016,
10/20/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.050059,NA,EPA,2023,10,20,0.015604,
02/04/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036647,NA,EPA,2021,2,4,0.015471,
10/04/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030235,NA,EPA,2019,10,4,0.01547,
03/23/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044176,NA,EPA,2021,3,23,0.015235,
07/18/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.055294,NA,EPA,2021,7,18,0.015235,
11/05/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.029706,NA,EPA,2022,11,5,0.015235,
08/17/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.051857,NA,EPA,2022,8,17,0.01521,
10/11/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.045294,NA,EPA,2021,10,11,0.014706,
02/26/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.040647,NA,EPA,2023,2,26,0.014647,
05/21/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044235,NA,EPA,2019,5,21,0.01447,
10/09/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036059,NA,EPA,2022,10,9,0.014294,
09/11/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.029588,NA,EPA,2020,9,11,0.014117,
02/19/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044353,NA,EPA,2024,2,19,0.014,
08/06/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053471,NA,EPA,2023,8,6,0.013942,
10/26/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.028706,NA,EPA,2020,10,26,0.013941,
06/04/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.055235,NA,EPA,2022,6,4,0.013588,
04/19/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.048412,NA,EPA,2020,4,19,0.01353,
05/12/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044412,NA,EPA,2019,5,12,0.013412,
06/30/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.058267,NA,EPA,2022,6,30,0.01341,
10/05/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.045765,NA,EPA,2023,10,5,0.013353,
08/13/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053765,NA,EPA,2020,8,13,0.013177,
06/03/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.041647,NA,EPA,2022,6,3,0.013118,
10/08/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.046824,NA,EPA,2019,10,8,0.013059,
01/23/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.038353,NA,EPA,2020,1,23,0.013,
05/06/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053235,NA,EPA,2019,5,6,0.012882,
10/29/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.042059,NA,EPA,2022,10,29,0.012706,
05/16/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.050882,NA,EPA,2023,5,16,0.012706,
06/11/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.052588,NA,EPA,2019,6,11,0.012647,
08/17/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.063412,NA,EPA,2023,8,17,0.012647,
04/25/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.041471,NA,EPA,2024,4,25,0.012647,
02/15/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036118,NA,EPA,2020,2,15,0.01253,
01/18/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036059,NA,EPA,2020,1,18,0.012471,
01/25/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.019824,NA,EPA,2024,1,25,0.012471,
06/05/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.054941,NA,EPA,2023,6,5,0.012274,
02/16/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035118,NA,EPA,2019,2,16,0.012236,
11/09/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.029882,NA,EPA,2019,11,9,0.012235,
11/30/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.034059,NA,EPA,2019,11,30,0.012235,
04/08/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.052353,NA,EPA,2020,4,8,0.012235,
05/17/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.054706,NA,EPA,2024,5,17,0.012235,
07/24/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.061294,NA,EPA,2021,7,24,0.012,
09/23/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.046,NA,EPA,2023,9,23,0.011941,
02/23/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.037176,NA,EPA,2019,2,23,0.011926,
03/17/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.046,NA,EPA,2023,3,17,0.011882,
12/30/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.033353,NA,EPA,2020,12,30,0.011824,
10/05/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.048176,NA,EPA,2020,10,5,0.011823,
07/10/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.054765,NA,EPA,2021,7,10,0.011765,
10/29/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.029059,NA,EPA,2023,10,29,0.011647,
01/30/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.037471,NA,EPA,2021,1,30,0.011589,
03/28/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.047,NA,EPA,2020,3,28,0.011588,
01/25/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.025824,NA,EPA,2021,1,25,0.011471,
07/27/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.043176,NA,EPA,2020,7,27,0.01147,
02/22/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.041235,NA,EPA,2023,2,22,0.01147,
06/05/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.049765,NA,EPA,2019,6,5,0.011353,
06/03/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.049412,NA,EPA,2024,6,3,0.011236,
03/14/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036588,NA,EPA,2021,3,14,0.011235,
01/27/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036353,NA,EPA,2022,1,27,0.011235,
01/03/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.033824,NA,EPA,2019,1,3,0.011177,
11/24/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.030353,NA,EPA,2020,11,24,0.011118,
09/24/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.050235,NA,EPA,2020,9,24,0.011117,
05/24/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.045882,NA,EPA,2021,5,24,0.011117,
04/20/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.048294,NA,EPA,2022,4,20,0.011059,
04/10/2023,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.051706,NA,EPA,2023,4,10,0.011059,
08/03/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053529,NA,EPA,2022,8,3,0.011058,
01/08/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035824,NA,EPA,2022,1,8,0.010883,
05/13/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.056294,NA,EPA,2022,5,13,0.010765,
04/06/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036824,NA,EPA,2020,4,6,0.010706,
10/11/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.032,NA,EPA,2019,10,11,0.010647,
03/05/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.047529,NA,EPA,2021,3,5,0.010647,
02/11/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.033824,NA,EPA,2019,2,11,0.010589,
08/17/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.055882,NA,EPA,2020,8,17,0.010588,
02/17/2021,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.044588,NA,EPA,2021,2,17,0.010588,
08/25/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053471,NA,EPA,2019,8,25,0.01053,
07/11/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.049529,NA,EPA,2020,7,11,0.010529,
10/25/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.036529,NA,EPA,2022,10,25,0.010529,
03/11/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.045412,NA,EPA,2022,3,11,0.010471,
06/23/2019,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.053941,NA,EPA,2019,6,23,0.01047,
07/20/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.062941,NA,EPA,2022,7,20,0.01047,
05/27/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.059824,NA,EPA,2022,5,27,0.010424,
05/25/2022,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.043,NA,EPA,2022,5,25,0.010412,
03/09/2024,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.039059,NA,EPA,2024,3,9,0.010353,
03/27/2020,34.8803,-101.6649,"Palo Duro Canyon State Park, Canyon, TX 79015",9991,NA,0.035412,NA,EPA,2020,3,27,0.010294,
